,Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
1911,5.0,14.0,4,Laptop & Accessory,2,Married,6,0,8.0,200.47,0
823,27.0,13.0,4,Laptop & Accessory,3,Married,4,1,6.0,148.06,0
3506,11.0,17.0,4,Mobile Phone,4,Married,3,0,8.0,164.36,0
1064,18.0,8.0,4,Grocery,2,Divorced,10,0,8.0,267.92,0
1067,21.0,14.0,5,Fashion,5,Married,9,1,,225.08,1
1543,2.0,7.0,5,Laptop & Accessory,1,Married,3,1,8.0,193.34,0
2006,1.0,29.0,4,Laptop & Accessory,3,Married,3,1,8.0,186.79,1
1260,5.0,36.0,5,Laptop & Accessory,1,Married,3,0,8.0,179.68,0
677,15.0,14.0,4,Laptop & Accessory,3,Single,8,0,2.0,175.03,0
2985,0.0,8.0,3,Mobile Phone,1,Divorced,7,1,2.0,137.22,1
368,1.0,17.0,4,Fashion,3,Married,8,0,,225.48,1
137,30.0,11.0,4,Others,5,Married,6,0,3.0,324.43,0
1590,13.0,19.0,4,Laptop & Accessory,4,Married,6,0,1.0,177.95,0
2689,1.0,17.0,4,Laptop & Accessory,1,Single,2,0,2.0,174.5,0
1000,14.0,9.0,4,Mobile Phone,3,Married,4,0,3.0,148.45,0
2818,7.0,12.0,4,Laptop & Accessory,4,Married,7,0,0.0,145.05,0
373,20.0,7.0,4,Others,2,Married,11,0,3.0,321.27,0
2239,,9.0,4,Mobile Phone,1,Single,1,0,1.0,120.45,0
29,1.0,17.0,5,Fashion,5,Married,11,0,,228.06,1
3179,13.0,14.0,3,Laptop & Accessory,3,Married,4,1,3.0,167.96,1
22,30.0,9.0,1,Mobile Phone,5,Married,5,1,0.0,126.7,0
1437,9.0,15.0,1,Mobile Phone,4,Married,2,0,2.0,128.1,0
3702,2.0,28.0,4,Mobile Phone,2,Divorced,3,0,3.0,152.13,0
1903,1.0,12.0,4,Mobile Phone,4,Single,3,1,1.0,143.78,1
1152,28.0,10.0,4,Laptop & Accessory,5,Married,4,0,6.0,184.4,0
429,5.0,12.0,3,Laptop & Accessory,3,Single,2,0,7.0,150.1,0
2543,8.0,28.0,2,Laptop & Accessory,1,Single,3,0,8.0,178.37,0
471,1.0,22.0,4,Mobile Phone,1,Single,3,0,1.0,137.32,0
43,17.0,21.0,4,Grocery,5,Married,8,0,1.0,296.59,0
88,25.0,10.0,4,Grocery,4,Single,5,0,1.0,262.34,0
1265,3.0,9.0,5,Laptop & Accessory,4,Divorced,4,0,1.0,191.44,0
1899,1.0,13.0,2,Mobile Phone,5,Divorced,3,1,1.0,141.01,1
1735,0.0,,5,Mobile Phone,5,Divorced,2,0,1.0,124.51,0
580,,7.0,3,Mobile Phone,5,Single,3,0,2.0,120.8,0
286,,28.0,3,Mobile Phone,3,Married,5,1,1.0,121.32,1
2557,30.0,27.0,3,Grocery,1,Married,5,1,0.0,278.75,0
787,1.0,36.0,4,Mobile Phone,5,Married,3,0,3.0,164.07,0
898,29.0,33.0,2,Others,4,Married,6,1,5.0,321.36,0
3703,0.0,10.0,4,Laptop & Accessory,2,Single,2,1,4.0,158.28,1
2848,11.0,,3,Mobile Phone,4,Married,6,0,8.0,125.92,0
549,9.0,,1,Laptop & Accessory,1,Married,5,0,3.0,125.71,0
2037,10.0,6.0,3,Fashion,1,Single,5,0,2.0,174.91,0
3096,10.0,16.0,2,Mobile Phone,2,Single,4,0,0.0,146.8,0
1125,3.0,9.0,4,Laptop & Accessory,3,Married,3,0,3.0,171.49,0
1429,,23.0,3,Mobile Phone,4,Divorced,2,0,0.0,122.1,1
3806,1.0,29.0,6,Mobile Phone,3,Married,3,0,1.0,140.55,1
2996,19.0,9.0,4,Laptop & Accessory,4,Divorced,2,0,8.0,173.05,0
3223,18.0,8.0,3,Laptop & Accessory,4,Married,1,0,7.0,148.05,0
983,17.0,13.0,3,Others,1,Married,1,1,10.0,290.49,0
3865,7.0,17.0,2,Fashion,3,Married,2,1,9.0,208.8,0
2586,4.0,8.0,3,Fashion,3,Married,2,1,6.0,198.52,0
845,1.0,28.0,5,Mobile Phone,4,Single,3,1,1.0,146.21,1
1160,31.0,25.0,4,Fashion,2,Single,8,0,,230.12,0
659,19.0,9.0,5,Laptop & Accessory,1,Married,3,0,10.0,182.7,0
909,14.0,9.0,5,Laptop & Accessory,3,Married,8,0,1.0,159.48,0
1177,12.0,12.0,4,Fashion,5,Married,5,0,7.0,199.91,0
1960,29.0,15.0,3,Grocery,1,Married,8,0,,211.03,0
1491,4.0,29.0,4,Laptop & Accessory,2,Divorced,1,0,8.0,155.82,0
3915,5.0,19.0,4,Mobile Phone,4,Divorced,2,0,2.0,127.43,0
890,14.0,17.0,5,Fashion,4,Married,4,0,,222.05,0
1766,12.0,9.0,4,Mobile Phone,4,Married,7,0,9.0,150.92,0
3303,2.0,8.0,4,Mobile Phone,5,Married,3,0,3.0,160.91,0
224,25.0,13.0,5,Mobile Phone,3,Single,2,0,8.0,153.38,0
559,1.0,7.0,2,Fashion,4,Single,3,0,8.0,199.46,1
1557,0.0,,3,Mobile Phone,3,Married,2,0,0.0,123.77,1
2651,24.0,17.0,4,Grocery,4,Single,4,0,3.0,231.42,0
710,0.0,8.0,3,Mobile Phone,1,Single,2,1,3.0,137.6,0
2500,20.0,10.0,3,Laptop & Accessory,2,Single,2,1,7.0,141.63,0
765,20.0,22.0,1,Laptop & Accessory,3,Married,2,1,7.0,150.67,0
2238,21.0,7.0,4,Others,1,Single,7,0,0.0,282.65,0
2250,11.0,8.0,3,Laptop & Accessory,3,Married,10,0,0.0,165.53,0
1830,4.0,7.0,4,Mobile Phone,3,Married,2,0,4.0,145.64,0
3390,1.0,12.0,4,Mobile Phone,1,Single,3,0,3.0,156.17,0
1528,2.0,8.0,6,Laptop & Accessory,1,Married,2,0,6.0,191.74,0
772,1.0,26.0,4,Mobile Phone,1,Married,3,0,3.0,148.23,0
2747,4.0,9.0,5,Mobile Phone,1,Single,2,0,3.0,152.2,0
3217,1.0,23.0,6,Mobile Phone,5,Married,3,1,1.0,148.07,1
2151,9.0,10.0,5,Mobile Phone,3,Married,3,0,1.0,137.81,0
276,31.0,35.0,5,Fashion,5,Married,6,0,,227.66,0
536,0.0,7.0,4,Laptop & Accessory,3,Single,2,0,2.0,146.17,0
537,16.0,12.0,4,Others,3,Divorced,8,0,1.0,308.03,0
3400,0.0,,3,Mobile Phone,2,Single,2,0,2.0,126.1,0
1092,2.0,15.0,4,Mobile Phone,1,Single,3,0,3.0,158.1,0
1158,8.0,9.0,5,Mobile Phone,5,Single,3,0,4.0,168.81,0
356,0.0,8.0,3,Mobile Phone,4,Married,10,0,2.0,134.68,0
1140,0.0,10.0,4,Laptop & Accessory,2,Single,2,1,3.0,144.87,0
3717,1.0,26.0,4,Mobile Phone,2,Divorced,3,0,3.0,148.23,0
2206,5.0,15.0,3,Laptop & Accessory,1,Married,2,1,5.0,163.22,0
3435,30.0,35.0,4,Grocery,1,Married,4,0,0.0,241.18,0
673,18.0,31.0,3,Others,4,Single,4,0,0.0,280.61,0
3173,12.0,6.0,3,Others,3,Married,2,1,6.0,291.97,0
2677,4.0,13.0,2,Laptop & Accessory,2,Divorced,5,0,7.0,169.29,0
3306,7.0,21.0,3,Fashion,1,Married,2,0,5.0,179.78,1
2556,31.0,7.0,6,Fashion,1,Married,5,0,1.0,233.83,0
1405,16.0,17.0,4,Grocery,5,Married,2,0,10.0,292.99,0
1208,21.0,11.0,4,Laptop & Accessory,1,Single,3,1,8.0,166.63,0
1378,7.0,7.0,5,Mobile Phone,3,Married,3,0,1.0,145.08,0
170,7.0,10.0,3,Laptop & Accessory,3,Married,10,0,2.0,165.38,0
3184,23.0,6.0,3,Laptop & Accessory,3,Divorced,1,0,13.0,163.47,0
2137,3.0,7.0,4,Laptop & Accessory,5,Married,2,0,3.0,178.73,0
1017,1.0,15.0,2,Laptop & Accessory,4,Married,2,0,3.0,173.51,0
1069,10.0,12.0,3,Laptop & Accessory,1,Married,5,0,1.0,165.02,0
1044,6.0,6.0,2,Grocery,3,Married,5,0,5.0,261.84,0
2961,9.0,32.0,4,Fashion,3,Married,3,1,,228.88,0
1846,8.0,31.0,4,Fashion,4,Divorced,4,0,8.0,209.03,0
2797,5.0,9.0,3,Fashion,1,Single,4,0,,211.59,0
3427,22.0,14.0,4,Grocery,4,Divorced,7,0,,231.2,0
3856,0.0,6.0,4,Laptop & Accessory,5,Single,2,0,7.0,142.94,0
222,,14.0,4,Laptop & Accessory,4,Married,2,1,7.0,121.33,0
374,21.0,21.0,4,Laptop & Accessory,5,Single,4,0,8.0,174.6,0
2716,10.0,17.0,4,Fashion,4,Married,7,0,8.0,198.14,1
566,1.0,11.0,5,Mobile Phone,1,Married,2,0,5.0,156.62,0
2862,3.0,7.0,2,Laptop & Accessory,3,Single,10,1,3.0,187.94,0
3560,6.0,29.0,3,Fashion,1,Single,2,1,12.0,234.58,0
3211,7.0,13.0,4,Laptop & Accessory,1,Married,5,0,8.0,202.25,0
357,,30.0,3,Mobile Phone,4,Single,2,0,4.0,121.77,0
3861,0.0,14.0,3,Laptop & Accessory,4,Married,2,0,7.0,162.14,0
1454,14.0,8.0,4,Mobile Phone,4,Married,5,0,4.0,148.87,0
3463,12.0,14.0,2,Mobile Phone,3,Married,3,0,4.0,151.1,0
503,13.0,7.0,3,Laptop & Accessory,1,Married,5,0,3.0,165.13,0
3461,2.0,33.0,5,Laptop & Accessory,5,Divorced,3,0,5.0,172.24,0
2973,18.0,26.0,3,Grocery,1,Married,1,1,10.0,234.96,0
513,8.0,9.0,4,Laptop & Accessory,3,Single,4,0,3.0,165.33,0
3169,27.0,6.0,3,Fashion,3,Married,8,0,4.0,205.02,0
213,,9.0,4,Mobile Phone,3,Divorced,2,0,0.0,112.81,0
1493,,9.0,3,Mobile Phone,4,Married,4,1,3.0,122.77,0
1461,,6.0,3,Mobile Phone,5,Married,5,0,2.0,121.94,0
672,13.0,7.0,3,Fashion,2,Married,2,0,,221.13,0
230,11.0,17.0,4,Laptop & Accessory,4,Single,4,1,2.0,166.97,0
372,0.0,6.0,3,Mobile Phone,4,Married,2,0,4.0,138.16,0
2046,27.0,23.0,3,Fashion,3,Divorced,9,0,8.0,207.39,0
280,6.0,15.0,4,Fashion,2,Single,3,0,,214.98,0
2833,13.0,17.0,4,Grocery,5,Divorced,3,1,11.0,295.68,0
2015,13.0,,3,Mobile Phone,4,Married,4,0,3.0,123.87,0
3032,1.0,11.0,5,Laptop & Accessory,2,Single,3,1,4.0,169.87,0
3060,17.0,34.0,1,Grocery,2,Divorced,4,1,11.0,233.2,0
2280,30.0,30.0,4,Grocery,4,Divorced,6,1,10.0,259.02,0
414,,10.0,3,Mobile Phone,1,Married,2,0,0.0,119.51,0
2871,,33.0,3,Mobile Phone,4,Single,3,0,2.0,123.11,0
3406,1.0,8.0,4,Mobile Phone,1,Single,3,0,1.0,141.11,0
3416,1.0,9.0,4,Mobile Phone,3,Single,3,0,3.0,152.83,0
987,19.0,21.0,3,Others,4,Divorced,6,0,3.0,290.81,0
844,12.0,13.0,5,Laptop & Accessory,3,Married,4,0,8.0,178.21,0
3021,8.0,22.0,4,Fashion,1,Married,3,0,6.0,204.78,1
1571,7.0,9.0,3,Laptop & Accessory,2,Single,1,0,4.0,177.56,0
7,1.0,11.0,4,Mobile Phone,5,Single,3,0,1.0,154.73,1
2767,4.0,16.0,5,Mobile Phone,3,Single,3,0,9.0,147.06,0
1562,9.0,13.0,3,Mobile Phone,1,Single,3,0,1.0,146.78,0
1081,,7.0,4,Mobile Phone,4,Married,1,0,2.0,122.69,0
422,1.0,25.0,4,Laptop & Accessory,3,Divorced,2,1,3.0,171.14,1
1190,10.0,7.0,4,Laptop & Accessory,2,Single,6,0,1.0,191.53,0
2201,6.0,8.0,4,Fashion,1,Married,3,0,,229.22,0
3228,,34.0,3,Mobile Phone,1,Married,5,0,3.0,121.32,0
